Risk_Item_ID,Year,Loss_Cost
8472,1978,20.420000000000002
8472,1979,20.649999999999999
8472,1980,24.800000000000001
8472,1981,15.17
8472,1982,7.2400000000000002
8472,1983,12.33
8472,1984,25.780000000000001
8472,1985,6.9100000000000001
8472,1986,20.309999999999999
8472,1987,10.59
8472,1988,6.7999999999999998
8472,1989,14.289999999999999
8472,1990,22.25
8472,1991,29.23
8472,1992,44.420000000000002
8472,1993,18.460000000000001
8472,1994,36.640000000000001
8472,1995,23.420000000000002
8472,1996,17.059999999999999
8472,1997,7.1699999999999999
8472,1998,9.25
8472,1999,21.600000000000001
8472,2000,8.3399999999999999
8472,2001,34.009999999999998
8472,2002,20.850000000000001
8472,2003,31.859999999999999
8472,2004,8.2200000000000006
8472,2005,15.640000000000001
8472,2006,43.490000000000002
